simulation_id;final_value;return_%
0;127444.21740425378;27.444217404253777
1;94998.27283205886;-5.001727167941135
2;112540.370336756;12.540370336755993
3;83483.29095099655;-16.51670904900345
4;150063.51690767135;50.06351690767134
5;110496.86924995044;10.49686924995044
6;87202.73833505544;-12.797261664944557
7;123991.54795928544;23.991547959285437
8;154849.0944738806;54.8490944738806
9;132063.13274961122;32.06313274961122
10;128813.75102793216;28.813751027932156
11;93170.22564118833;-6.8297743588116715
12;130137.87770676488;30.137877706764876
13;103827.94588516104;3.8279458851610397
14;100240.26742538072;0.24026742538071993
15;93940.17899640977;-6.05982100359023
16;80381.75150393289;-19.618248496067114
17;160353.30801457114;60.35330801457114
18;96378.68721196293;-3.621312788037074
19;135097.320993394;35.09732099339401
20;136639.43722366483;36.639437223664835
21;131994.0552261806;31.994055226180585
22;50637.16518977647;-49.36283481022353
23;59494.21430358578;-40.50578569641422
24;46368.753208949085;-53.63124679105091
25;80051.45730110795;-19.94854269889205
26;136787.38457858303;36.78738457858303
27;123745.18608816806;23.74518608816806
28;66585.07440766814;-33.414925592331855
29;107048.97628418433;7.048976284184333
30;122972.37963071372;22.972379630713725
31;157115.97789613955;57.11597789613955
32;128782.66726250443;28.78266726250443
33;144699.31688110012;44.699316881100124
34;116943.02035650439;16.943020356504395
35;137758.70984144852;37.75870984144852
36;108465.43067045449;8.465430670454486
37;170955.21250457363;70.95521250457362
38;110140.8241357394;10.1408241357394
39;89102.56478733792;-10.89743521266208
40;126781.29489917125;26.78129489917125
41;92879.43591456389;-7.120564085436112
42;144165.42714765912;44.16542714765912
43;89805.46941863073;-10.194530581369268
44;101912.31983010049;1.9123198301004884
45;96859.45640503337;-3.140543594966628
46;102277.66843671598;2.277668436715976
47;106386.9136316;6.386913631599993
48;115863.56535013289;15.863565350132895
49;119029.40722043716;19.02940722043716
50;125810.63599451214;25.810635994512136
51;117681.61269141817;17.681612691418167
52;76832.18094078654;-23.167819059213464
53;159951.17699113072;59.951176991130716
54;158736.4212144912;58.73642121449119
55;112668.16458491287;12.66816458491287
56;116286.43165993581;16.28643165993581
57;80510.99368869707;-19.48900631130293
58;111486.67739372482;11.486677393724822
59;148852.23212856625;48.85223212856625
60;176432.37323584396;76.43237323584397
61;108342.10652847671;8.34210652847671
62;75204.64528608033;-24.795354713919675
63;109538.01151883214;9.538011518832135
64;116803.14120573126;16.803141205731258
65;116513.26786512297;16.513267865122966
66;114541.04508554301;14.541045085543011
67;60072.80921012781;-39.92719078987219
68;102761.53349958612;2.7615334995861196
69;87482.57455555299;-12.517425444447014
70;103494.25981700007;3.494259817000071
71;137788.86443656514;37.78886443656514
72;92846.56367453482;-7.153436325465183
73;94949.19754409295;-5.050802455907047
74;65072.09054963417;-34.92790945036583
75;178984.92106847998;78.98492106847998
76;161459.95168306967;61.45995168306967
77;139321.71800118627;39.32171800118627
78;93944.63141886788;-6.055368581132119
79;89268.99792687644;-10.731002073123557
80;114540.1506299886;14.540150629988597
81;103150.43562006493;3.1504356200649344
82;81700.86547626098;-18.29913452373902
83;96183.5528747423;-3.816447125257706
84;105565.50400719087;5.5655040071908735
85;92956.8832153264;-7.043116784673606
86;92490.26550325344;-7.509734496746562
87;61663.22447181389;-38.33677552818611
88;111404.21163770929;11.40421163770929
89;84478.34181573176;-15.521658184268237
90;86385.29942289759;-13.614700577102411
91;108771.0681252975;8.771068125297504
92;100734.61427667818;0.734614276678185
93;109976.00001120324;9.976000011203242
94;145269.89780937025;45.26989780937025
95;141164.20859994987;41.164208599949866
96;105724.28706144921;5.724287061449213
97;123194.58946179727;23.194589461797264
98;95316.71806130846;-4.683281938691536
99;82201.64007681467;-17.79835992318533
100;86262.1633742064;-13.737836625793602
101;145034.34328747302;45.03434328747302
102;121516.58248803008;21.51658248803008
103;181824.79538926214;81.82479538926214
104;149222.1379254657;49.22213792546571
105;106534.19312370263;6.53419312370263
106;70451.86287764847;-29.54813712235153
107;105686.58991409614;5.686589914096141
108;138311.30451600673;38.31130451600673
109;147467.6457464486;47.4676457464486
110;92705.78957544759;-7.29421042455241
111;76912.61131865795;-23.087388681342055
112;100206.84844534687;0.20684844534687
113;121143.44652404574;21.143446524045736
114;120592.86001586886;20.592860015868865
115;127226.58374910083;27.22658374910083
116;98300.90047624407;-1.6990995237559254
117;118643.52294290521;18.643522942905214
118;150235.79466395974;50.23579466395973
119;161219.1760714254;61.21917607142541
120;119271.84390532006;19.271843905320058
121;118996.11731307296;18.996117313072958
122;119068.432527346;19.068432527345998
123;131541.54079158834;31.54154079158834
124;118482.64578576242;18.48264578576242
125;173585.77046455815;73.58577046455815
126;89069.95730240656;-10.930042697593437
127;144981.49950483537;44.98149950483538
128;181934.04839224985;81.93404839224986
129;104488.61605630102;4.488616056301019
130;63134.603154692224;-36.86539684530777
131;135833.46074650873;35.833460746508734
132;152018.47408410488;52.01847408410488
133;119380.97769121295;19.380977691212944
134;123380.78074772484;23.38078074772484
135;103849.41805197822;3.849418051978224
136;131534.0224550782;31.534022455078198
137;124115.000800522;24.115000800522
138;102909.62930853653;2.9096293085365326
139;72878.94032932156;-27.121059670678445
140;147813.23003977968;47.81323003977968
141;92383.22503020709;-7.6167749697929095
142;82735.71991593648;-17.264280084063518
143;77906.69751758783;-22.093302482412167
144;141319.18855969232;41.31918855969232
145;78161.17162051439;-21.838828379485612
146;131205.6772067721;31.205677206772087
147;88590.67689593542;-11.409323104064576
148;119077.8530328076;19.077853032807603
149;173578.3867383081;73.5783867383081
150;138627.35626288343;38.62735626288343
151;93451.81263377545;-6.548187366224549
152;159501.47722517775;59.501477225177744
153;117121.84979857436;17.12184979857436
154;90305.04653921489;-9.69495346078511
155;92231.21289103647;-7.76878710896353
156;98780.6033881006;-1.2193966118993993
157;160398.04540654077;60.39804540654077
158;130581.92120439271;30.58192120439271
159;150930.17644656348;50.93017644656348
160;134253.90576606075;34.25390576606075
161;168078.2241165099;68.0782241165099
162;120287.41952279037;20.28741952279037
163;169795.30688151115;69.79530688151114
164;73387.34586314482;-26.612654136855184
165;120788.67562531846;20.788675625318458
166;159025.84685706202;59.025846857062014
167;82822.09879387272;-17.17790120612728
168;103492.82017340798;3.4928201734079773
169;98928.97620726205;-1.0710237927379493
170;125458.77900994409;25.458779009944088
171;167137.28010872076;67.13728010872076
172;129119.09851972581;29.11909851972581
173;121989.58463525909;21.98958463525909
174;104013.57487086118;4.013574870861179
175;81678.50288739444;-18.321497112605563
176;91741.85487808885;-8.258145121911149
177;166477.2885877789;66.47728858777889
178;146965.87147012376;46.96587147012376
179;132189.78477317592;32.18978477317592
180;129085.1503843744;29.085150384374398
181;81327.50988142555;-18.67249011857445
182;139078.87302472687;39.07887302472687
183;112016.55978223504;12.01655978223504
184;111917.59152873867;11.917591528738674
185;144575.1230139368;44.575123013936796
186;96924.71501213059;-3.0752849878694106
187;100157.6293810534;0.15762938105339708
188;134934.72994727903;34.93472994727903
189;122134.36720260658;22.134367202606576
190;114090.34421129542;14.090344211295422
191;214412.48675009166;114.41248675009166
192;103799.3522188725;3.799352218872504
193;74873.56271746608;-25.126437282533924
194;96113.38797316432;-3.886612026835675
195;179194.82062314326;79.19482062314326
196;78967.33354188935;-21.032666458110647
197;85985.25077627435;-14.014749223725653
198;121165.57333501383;21.165573335013832
199;109195.77263454239;9.195772634542386
200;93029.5887154476;-6.970411284552407
201;102829.92180626217;2.829921806262166
202;141237.6534972587;41.2376534972587
203;117368.87154486218;17.36887154486218
204;111100.71628918478;11.100716289184783
205;217378.68111861843;117.37868111861845
206;96025.75461004562;-3.974245389954376
207;88163.15088944163;-11.836849110558367
208;159280.1227717525;59.28012277175251
209;123174.94713458023;23.174947134580233
210;90870.7649950761;-9.129235004923903
211;79601.64991804812;-20.398350081951882
212;109599.15808608822;9.599158086088226
213;125299.71136918674;25.29971136918674
214;173502.9912327685;73.5029912327685
215;128859.23660060704;28.859236600607037
216;82376.21123646891;-17.62378876353109
217;152692.67431153962;52.69267431153962
218;113379.91748723276;13.379917487232756
219;156343.53301274715;56.34353301274715
220;81863.25953729084;-18.13674046270916
221;88784.4851380352;-11.215514861964795
222;175724.5783029626;75.72457830296258
223;116138.83261217929;16.138832612179293
224;114835.72805261335;14.835728052613353
225;86880.01554933288;-13.119984450667122
226;106545.92839534857;6.545928395348572
227;72714.05268108066;-27.28594731891934
228;126591.35744981583;26.591357449815828
229;119690.10814967589;19.690108149675886
230;123315.13836931092;23.315138369310922
231;75758.65297504333;-24.241347024956674
232;81103.42786186501;-18.89657213813499
233;147027.95945702275;47.02795945702275
234;178948.76139078665;78.94876139078664
235;69639.83194173736;-30.360168058262644
236;113559.666292179;13.559666292179
237;86630.7979130773;-13.3692020869227
238;102329.8839533684;2.3298839533683933
239;81480.57128967789;-18.519428710322114
240;95087.88387229685;-4.9121161277031495
241;100650.86422301653;0.6508642230165279
242;88880.43609885374;-11.119563901146263
243;104093.58452403558;4.093584524035585
244;98501.32170267268;-1.498678297327322
245;96705.05683900908;-3.2949431609909223
246;188511.58518554218;88.51158518554217
247;75196.19191317858;-24.803808086821416
248;90454.45685919785;-9.545543140802154
249;124454.29851695946;24.45429851695946
250;154471.30408684062;54.47130408684062
251;68291.07431819366;-31.708925681806342
252;124345.11280531606;24.345112805316067
253;140280.30323174808;40.280303231748086
254;90391.74791437013;-9.608252085629864
255;74750.11904442457;-25.249880955575428
256;114426.42839829081;14.426428398290808
257;98968.9375635999;-1.0310624364000978
258;92530.76725473886;-7.469232745261135
259;124152.1476406253;24.15214764062531
260;197997.08152441253;97.99708152441252
261;155249.1221261956;55.2491221261956
262;148331.36764520002;48.331367645200025
263;171315.84378066706;71.31584378066705
264;92175.59572929134;-7.824404270708662
265;120302.0664554199;20.302066455419904
266;131154.96142659205;31.154961426592052
267;128833.06566228563;28.833065662285634
268;106934.81257653971;6.934812576539713
269;114168.82158715214;14.16882158715214
270;81409.10226255396;-18.59089773744604
271;95772.9333367766;-4.227066663223407
272;112415.62959475203;12.415629594752026
273;91270.32724165005;-8.729672758349945
274;104105.63657414685;4.105636574146847
275;129508.37663441255;29.50837663441255
276;97909.52864494149;-2.090471355058515
277;86994.661925694;-13.005338074305998
278;69939.94917435075;-30.06005082564925
279;135928.23948465532;35.92823948465532
280;129508.6046662902;29.508604666290196
281;87742.68697239504;-12.257313027604964
282;100787.284216446;0.7872842164460017
283;133058.42941486594;33.05842941486594
284;188790.3875732974;88.79038757329741
285;65639.39092616826;-34.360609073831746
286;155610.91347250814;55.61091347250814
287;246847.23926193407;146.84723926193405
288;128340.02639457273;28.34002639457274
289;94289.37050329507;-5.710629496704932
290;99018.87998122572;-0.9811200187742798
291;191219.58545517485;91.21958545517485
292;86203.40918918034;-13.796590810819659
293;97115.86661825476;-2.8841333817452397
294;98015.6522210534;-1.9843477789465978
295;126763.92854133602;26.763928541336018
296;92015.66039603273;-7.984339603967267
297;74742.13378322637;-25.257866216773632
298;161037.47073085018;61.03747073085019
299;134938.39301420312;34.938393014203115
300;133140.25424025848;33.140254240258486
301;74100.52612419527;-25.89947387580473
302;110355.80332049828;10.355803320498278
303;95890.88902447575;-4.109110975524251
304;90274.35069579181;-9.725649304208185
305;107544.73453437563;7.544734534375632
306;92115.99834801782;-7.88400165198218
307;131824.70883538574;31.82470883538574
308;88309.71137688177;-11.690288623118235
309;117543.51001207509;17.543510012075085
310;69869.89935373903;-30.130100646260967
311;97229.08066208505;-2.7709193379149513
312;97653.50396802815;-2.346496031971852
313;124756.4882140905;24.756488214090496
314;110915.93474232442;10.915934742324417
315;99119.54787493646;-0.8804521250635444
316;131199.3613427276;31.199361342727617
317;134729.81174846957;34.72981174846957
318;68691.42598876495;-31.308574011235045
319;133639.84494404987;33.63984494404987
320;57993.534904706634;-42.006465095293365
321;88688.94220289124;-11.311057797108761
322;147502.37827709876;47.502378277098764
323;142313.70225985599;42.31370225985599
324;118415.98394291874;18.415983942918743
325;79294.78227941193;-20.705217720588074
326;174724.0615997037;74.7240615997037
327;173136.34738166147;73.13634738166147
328;158126.6391268825;58.12663912688251
329;124316.01821925078;24.31601821925078
330;130278.41514729807;30.27841514729807
331;88482.66833820395;-11.517331661796051
332;108131.02997948829;8.131029979488288
333;91279.08124704506;-8.720918752954939
334;101829.87834503352;1.8298783450335179
335;115194.48853764925;15.194488537649246
336;97271.8910265742;-2.7281089734257984
337;109875.21958737419;9.875219587374188
338;121993.96464442118;21.993964644421183
339;109167.34248426148;9.167342484261477
340;120488.50288650088;20.48850288650088
341;108236.96045007519;8.236960450075188
342;120692.45184819034;20.692451848190334
343;96514.46544691717;-3.485534553082834
344;82035.77287335355;-17.964227126646453
345;123239.56610488147;23.239566104881465
346;49577.28711878901;-50.422712881210984
347;121011.42701858419;21.01142701858419
348;66172.75573380331;-33.82724426619669
349;120828.42887145691;20.82842887145691
350;126822.7980782685;26.822798078268505
351;86946.6698278432;-13.0533301721568
352;190503.6033593916;90.50360335939159
353;136997.32372177026;36.99732372177025
354;143346.90628336265;43.34690628336265
355;140484.97690870115;40.48497690870116
356;118812.01505219932;18.81201505219932
357;92089.43598904008;-7.91056401095992
358;142216.31446624384;42.216314466243844
359;89712.51934289442;-10.287480657105581
360;113974.50280304992;13.974502803049923
361;89839.82799071606;-10.160172009283938
362;129709.65898363502;29.709658983635016
363;88879.17707719332;-11.120822922806678
364;82705.50570072517;-17.294494299274827
365;166724.70932307278;66.72470932307277
366;130943.16926930312;30.943169269303123
367;137898.5420560938;37.89854205609381
368;73964.9022864511;-26.035097713548893
369;126098.19032325849;26.098190323258486
370;116001.87889623792;16.001878896237915
371;73317.7852067154;-26.682214793284597
372;114366.00206340133;14.366002063401334
373;114383.73379125408;14.383733791254084
374;96130.86611237623;-3.8691338876237715
375;91084.42096489012;-8.915579035109884
376;112317.4074775011;12.317407477501096
377;104772.19103435306;4.772191034353062
378;142218.80084059093;42.21880084059094
379;142111.16772103022;42.11116772103021
380;94174.49972892288;-5.8255002710771215
381;132314.54277747442;32.314542777474415
382;92910.89560062447;-7.08910439937553
383;166283.3059765038;66.2833059765038
384;121049.21845055907;21.04921845055907
385;83418.70985745266;-16.58129014254734
386;123339.43611908298;23.33943611908298
387;81162.57164765065;-18.83742835234935
388;110151.78703775075;10.151787037750749
389;145460.15432687144;45.46015432687145
390;178626.98091452738;78.62698091452738
391;69137.11238331722;-30.862887616682784
392;63417.708299278005;-36.582291700721996
393;71427.17188293766;-28.572828117062336
394;82652.33283856911;-17.347667161430888
395;161366.74721118103;61.366747211181035
396;81992.83369499046;-18.007166305009537
397;78460.04839184799;-21.539951608152013
398;137334.01718130623;37.33401718130624
399;90576.56955804072;-9.423430441959281
400;102795.74822419068;2.795748224190684
401;148930.31882748738;48.93031882748738
402;138022.27619400114;38.022276194001144
403;109356.15061335725;9.356150613357254
404;115909.83668138705;15.909836681387052
405;82414.86288446118;-17.585137115538817
406;111364.26859329785;11.364268593297849
407;128397.5125739053;28.397512573905303
408;88107.22734209304;-11.892772657906956
409;85293.05089967963;-14.706949100320374
410;93186.71048013667;-6.813289519863335
411;102466.81854158553;2.4668185415855257
412;100892.5470187229;0.892547018722893
413;154347.23957988236;54.347239579882356
414;137636.24043428057;37.636240434280566
415;122985.04949279074;22.985049492790743
416;94528.44250325224;-5.471557496747758
417;111871.64035394603;11.87164035394603
418;107301.31230159219;7.301312301592189
419;120539.70615098646;20.539706150986458
420;95766.69770751483;-4.233302292485169
421;76558.98546571267;-23.44101453428733
422;105030.63569846464;5.030635698464641
423;162494.21093079835;62.494210930798346
424;114780.0223550578;14.780022355057795
425;94242.03973146947;-5.757960268530529
426;109060.96880805778;9.060968808057776
427;110699.85892033027;10.699858920330268
428;101781.73827946908;1.7817382794690786
429;95817.28552633648;-4.182714473663523
430;107690.54232970979;7.690542329709787
431;151394.59850402144;51.39459850402144
432;138104.81308053187;38.10481308053186
433;115933.72847299268;15.933728472992675
434;119749.1214923133;19.749121492313293
435;142565.3316576351;42.565331657635106
436;115655.95940477948;15.655959404779482
437;152621.7410896737;52.62174108967371
438;88316.89525232064;-11.68310474767936
439;84168.33585222013;-15.83166414777987
440;116541.68152095287;16.54168152095287
441;139699.92607865378;39.69992607865378
442;94969.07528716566;-5.0309247128343415
443;89396.88158457911;-10.603118415420889
444;105317.36834220312;5.3173683422031175
445;98264.44402715487;-1.7355559728451333
446;105292.52604839984;5.292526048399843
447;121277.56746075331;21.277567460753314
448;81438.34527937447;-18.561654720625533
449;120047.08450946648;20.047084509466483
450;150171.21438647973;50.171214386479726
451;133812.86759751206;33.81286759751206
452;198231.86845513486;98.23186845513486
453;133117.9897827851;33.117989782785095
454;121832.87136791061;21.832871367910613
455;90154.3357395542;-9.845664260445803
456;142017.03636089942;42.017036360899425
457;127150.92078147865;27.15092078147865
458;136318.4148402396;36.31841484023959
459;118039.69002548442;18.039690025484422
460;100719.6073758644;0.7196073758644052
461;84188.69613926689;-15.811303860733112
462;111699.85639594684;11.699856395946846
463;132791.9745499029;32.79197454990289
464;189154.29911970146;89.15429911970146
465;115291.70040626424;15.291700406264235
466;133980.74665933615;33.98074665933615
467;137516.91527982856;37.51691527982857
468;129567.80279837205;29.56780279837205
469;113493.41151405;13.493411514050008
470;165975.7715287196;65.9757715287196
471;75009.0355949961;-24.990964405003908
472;93735.59112973999;-6.264408870260013
473;91780.54283188339;-8.219457168116612
474;130202.70063868933;30.202700638689333
475;72116.60599916385;-27.883394000836155
476;128602.5273985782;28.602527398578196
477;71807.70939234;-28.192290607660002
478;94770.28931535309;-5.229710684646911
479;119402.32290443438;19.402322904434374
480;109401.38605822831;9.401386058228308
481;106393.5402250155;6.393540225015502
482;133323.9780413852;33.32397804138521
483;93651.19552708679;-6.348804472913209
484;93874.04860883392;-6.125951391166076
485;97764.82902624572;-2.2351709737542844
486;113161.60351840866;13.161603518408665
487;69474.20497908814;-30.525795020911854
488;75879.81712980574;-24.120182870194256
489;70156.3993972781;-29.8436006027219
490;105878.14209721518;5.878142097215182
491;101169.52098476031;1.169520984760311
492;116756.70599051884;16.756705990518835
493;135204.94339773656;35.20494339773656
